minute,player,x,y,xG,outcome
4,Bryan Mbeumo,0.8580000305175781,0.36,0.0417911000549793,SavedShot
49,Bryan Mbeumo,0.85,0.2720000076293945,0.0300854332745075,MissedShots
12,Bryan Mbeumo,0.865999984741211,0.36,0.0907815843820571,Goal
27,Bryan Mbeumo,0.965,0.2710000038146972,0.0429401397705078,BlockedShot
61,Bryan Mbeumo,0.9309999847412108,0.634000015258789,0.343330979347229,Goal
65,Bryan Mbeumo,0.860999984741211,0.3909999847412109,0.100229687988758,SavedShot
86,Bryan Mbeumo,0.953000030517578,0.5629999923706055,0.148540198802948,MissedShots
14,Bryan Mbeumo,0.865999984741211,0.3459999847412109,0.0614395216107368,SavedShot
50,Bryan Mbeumo,0.914000015258789,0.325,0.073762908577919,MissedShots
94,Bryan Mbeumo,0.894000015258789,0.3659999847412109,0.3139245212078094,MissedShots
10,Bryan Mbeumo,0.835999984741211,0.32,0.0253753084689378,SavedShot
19,Bryan Mbeumo,0.8730000305175781,0.315,0.0426005385816097,SavedShot
72,Bryan Mbeumo,0.8919999694824219,0.375,0.0957259982824325,SavedShot
77,Bryan Mbeumo,0.9080000305175782,0.4520000076293945,0.0686025246977806,SavedShot
24,Bryan Mbeumo,0.7780000305175782,0.2870000076293945,0.0523851886391639,MissedShots
43,Bryan Mbeumo,0.9109999847412108,0.3070000076293945,0.0591182112693786,BlockedShot
89,Bryan Mbeumo,0.9769999694824218,0.4570000076293945,0.6515918374061584,ShotOnPost
26,Bryan Mbeumo,0.865,0.2829999923706054,0.0920931026339531,SavedShot
46,Bryan Mbeumo,0.8159999847412109,0.479000015258789,0.038909550756216,BlockedShot
74,Bryan Mbeumo,0.8530000305175781,0.3659999847412109,0.0487095266580581,MissedShots
90,Bryan Mbeumo,0.85,0.1620000076293945,0.0445481017231941,MissedShots
20,Bryan Mbeumo,0.894000015258789,0.3089999961853027,0.0683403834700584,SavedShot
35,Bryan Mbeumo,0.8109999847412109,0.519000015258789,0.1524409800767898,BlockedShot
48,Bryan Mbeumo,0.8080000305175781,0.4670000076293945,0.1546245664358139,MissedShots
26,Bryan Mbeumo,0.8719999694824219,0.2829999923706054,0.0728670209646225,Goal
67,Bryan Mbeumo,0.9280000305175782,0.2879999923706055,0.0531808845698833,BlockedShot
69,Bryan Mbeumo,0.775,0.4359999847412109,0.0207246448844671,MissedShots
88,Bryan Mbeumo,0.9490000152587892,0.2670000076293945,0.2745818495750427,SavedShot
48,Bryan Mbeumo,0.958000030517578,0.479000015258789,0.4801921844482422,ShotOnPost
78,Bryan Mbeumo,0.8780000305175781,0.28,0.0383063144981861,BlockedShot
70,Bryan Mbeumo,0.926999969482422,0.3390000152587891,0.0537911914288997,MissedShots
30,Bryan Mbeumo,0.79,0.425,0.0368011221289634,BlockedShot
57,Bryan Mbeumo,0.894000015258789,0.2710000038146972,0.0397011823952198,SavedShot
93,Bryan Mbeumo,0.7930000305175782,0.2189999961853027,0.0433131717145442,MissedShots
33,Bryan Mbeumo,0.775,0.539000015258789,0.0304658077657222,MissedShots
35,Bryan Mbeumo,0.865999984741211,0.3420000076293945,0.0435655638575553,BlockedShot
31,Bryan Mbeumo,0.845,0.374000015258789,0.0589065924286842,MissedShots
78,Bryan Mbeumo,0.875999984741211,0.6079999923706054,0.1259755343198776,SavedShot
8,Bryan Mbeumo,0.8540000152587891,0.4579999923706054,0.3178524672985077,Goal
47,Bryan Mbeumo,0.8640000152587891,0.3420000076293945,0.0488694570958614,Goal
69,Bryan Mbeumo,0.7609999847412109,0.2760000038146972,0.0156165855005383,BlockedShot
